step,Loss
0,0.00864104
100,0.0123368
200,0.0178633
300,0.00920916
400,0.00960011
500,0.00856259
600,0.00855255
700,0.00744636
800,0.00849416
900,0.00881384
1000,0.00782074
1100,0.00758049
1200,0.00793952
1300,0.00746328
1400,0.00772783
1500,0.00972746
1600,0.00963656
1700,0.00711895
1800,0.00719105
1900,0.00712413
2000,0.00677207
2100,0.00704715
2200,0.00777767
2300,0.00734393
2400,0.00702972
2500,0.00617448
2600,0.00605685
2700,0.0062921
2800,0.00567447
2900,0.00691859
3000,0.00637749
3100,0.00606964
3200,0.00601953
3300,0.00574946
3400,0.00608686
3500,0.00558539
3600,0.00551399
3700,0.00579366
3800,0.00559175
3900,0.00577238
4000,0.00572863
4100,0.00575667
4200,0.00619888
